"","X1","X2"
"186",9,726
"187",9,728
"188",9,730
"189",9,735
"190",10,741
"191",11,770
"192",11,775
"193",11,779
"194",11,780
"195",11,784
"196",11,785
"197",11,786
"198",11,795
"199",11,800
"200",11,804
"201",11,805
"202",11,806
"203",11,814
"204",11,816
"205",11,822
"206",11,824
"207",11,836
"208",11,839
"209",11,840
"210",11,842
"211",11,846
"212",12,851
"213",12,853
"214",12,860
"215",12,864
"216",12,865
"217",12,868
"218",12,869
"219",12,870
"220",12,873
"221",13,878
"222",13,888
"223",13,890
"224",13,895
"225",14,897
"226",14,900
"227",14,905
"228",14,908
"229",14,909
"230",14,910
"231",14,912
"232",14,914
"233",14,915
"234",14,919
"235",14,921
"236",14,923
"237",14,924
"238",14,932
"239",14,937
"240",14,938
"241",14,940
"242",14,943
"243",14,947
"244",14,952
"245",15,953
"246",15,960
"247",15,963
"248",15,964
"249",15,965
"250",15,968
"251",15,987
"252",15,990
"253",16,1003
"254",16,1004
"255",16,1006
"256",16,1008
"257",16,1021
"258",16,1022
"259",16,1023
"260",16,1030
"261",16,1033
"262",16,1041
"263",16,1043
"264",16,1044
"265",16,1045
"266",16,1052
"267",16,1057
"268",16,1062
"269",16,1067
"270",16,1069
"271",16,1071
"272",16,1073
"273",16,1077
"274",16,1087
"275",16,1090
"276",16,1093
"277",16,1098
"278",16,1100
"279",16,1118
"280",16,1119
"281",16,1122
"282",16,660
"283",20,1156
"284",20,1164
"285",20,1169
"286",20,1170
"287",20,1172
"288",21,1186
"289",21,1193
"290",21,1194
"291",21,1198
"292",23,1071
"293",23,1219
"294",23,1230
"295",23,1231
"296",23,1236
"297",23,1238
"298",23,1239
"299",23,1241
"300",23,1251
"301",23,1254
"302",23,1256
"303",23,1257
"304",23,1259
"305",23,1263
"306",23,1268
"307",23,1269
"308",23,1275
"309",23,1277
"310",23,1283
"311",23,1284
"312",23,1291
"313",23,1295
"314",23,1307
"315",23,1309
"316",23,1311
"317",23,1313
"318",23,1317
"319",23,1322
"320",23,1326
"321",23,1330
"322",23,1332
"323",23,1340
"324",23,1344
"325",23,1351
"326",23,1354
"327",23,1363
"328",23,1364
"329",23,1365
"330",23,1366
"331",23,1374
"332",23,1378
"333",23,1382
"334",23,1383
"335",23,1384
"336",23,1394
"337",23,1399
"338",23,1402
"339",23,1403
"340",23,1409
"341",23,1410
"342",23,1412
"343",23,1414
"344",23,1417
"345",23,1421
"346",23,1425
"347",23,1426
"348",23,1428
"349",23,1431
"350",23,1432
"351",23,1435
"352",23,1439
"353",23,1443
"354",23,1448
"355",23,1449
"356",23,1450
"357",23,1454
"358",23,1456
"359",23,1457
"360",23,1460
"361",23,1463
"362",23,1470
"363",23,1472
"364",23,1477
"365",23,1479
"366",23,1481
"367",23,1486
"368",23,1495
"369",23,1498
"370",23,1500
"371",23,1512
"372",23,1514
"373",23,1515
"374",23,1516
"375",23,1529
"376",23,1531
"377",23,1533
"378",23,1535
"379",23,1536
"380",23,1538
"381",23,1539
"382",23,1542
"383",23,1548
"384",23,1549
"385",23,1553
"386",23,1556
"387",23,1560
"388",23,1562
"389",23,1569
"390",23,1574
"391",23,1576
"392",23,1581
"393",23,1582
"394",23,1583
"395",23,1584
"396",23,1589
"397",23,1591
"398",23,1598
"399",23,1605
"400",23,1607
"401",23,1614
"402",23,1615
"403",23,1616
"404",23,1617
"405",23,1622
"406",23,1626
"407",23,1652
"408",23,1654
"409",23,1655
"410",23,1666
"411",23,1667
"412",23,1680
"413",23,1685
"414",23,1692
"415",23,1696
"416",23,1700
"417",23,1701
"418",23,1703
"419",23,1704
"420",23,1705
"421",23,1707
"422",23,1708
"423",23,1713
"424",23,1716
"425",23,1731
"426",23,1733
"427",23,1734
"428",23,1740
"429",23,1745
"430",23,1749
"431",23,1754
"432",23,1755
"433",23,1764
"434",23,1768
"435",23,1771
"436",23,1775
"437",23,1789
"438",23,220
"439",23,509
"440",23,630
"441",24,1792
"442",24,1812
"443",27,1823
"444",27,1828
"445",27,1829
"446",27,1831
"447",27,1832
"448",27,1833
"449",27,1838
"450",27,1841
"451",27,1842
"452",27,1844
"453",27,1845
"454",27,1856
"455",27,1862
"456",27,1867
"457",27,1868
"458",27,1870
"459",27,1876
"460",27,1881
"461",27,1884
"462",28,1891
"463",28,1894
"464",28,1899
"465",28,1903
"466",28,1904
"467",28,1905
"468",28,1917
"469",28,1918
"470",28,1922
"471",28,1926
"472",28,1933
"473",28,1935
"474",28,1938
"475",28,1941
"476",28,1944
"477",28,1953
"478",28,1963
"479",28,1970
"480",28,1971
"481",28,1983
"482",28,1984
"483",28,1986
"484",28,1995
"485",28,1996
"486",28,2000
"487",28,2002
"488",28,2008
"489",28,2011
"490",28,2014
"491",28,2015
"492",28,2017
"493",28,2018
"494",28,2023
"495",28,2029
"496",28,2032
"497",28,2033
"498",28,2040
"499",28,2041
"500",28,2042
"501",28,2044
"502",28,2048
"503",28,2051
"504",28,2052
"505",28,2056
"506",28,2062
"507",28,2063
"508",28,2064
"509",28,2065
"510",28,2070
"511",28,2074
"512",29,2076
"513",29,2078
"514",29,2079
"515",29,2081
"516",29,2088
"517",29,2094
"518",29,2097
"519",29,2102
"520",29,2107
"521",29,2109
"522",29,2118
"523",29,2127
"524",29,2129
"525",29,2134
"526",29,2142
"527",29,2146
"528",29,2152
"529",29,2162
"530",29,2169
"531",29,2170
"532",29,2173
"533",29,2178
"534",29,2182
"535",29,2183
"536",29,2184
"537",29,2185
"538",29,2188
"539",29,2191
"540",29,2193
"541",29,2195
"542",29,2196
"543",29,2200
"544",29,2211
"545",29,376
"546",30,1104
"547",30,132
"548",30,2220
"549",30,2224
"550",30,2226
"551",30,2230
"552",30,2240
"553",30,2245
"554",30,2250
"555",30,2254
"556",30,2255
"557",30,2260
"558",30,2262
"559",30,2264
"560",30,2268
"561",30,2271
"562",30,2275
"563",30,2279
"564",30,2280
"565",30,2283
"566",30,2294
"567",30,2295
"568",30,2297
"569",30,2303
"570",30,967
"571",31,1871
"572",31,203
"573",31,2314
"574",31,2315
"575",31,2317
"576",31,2332
"577",31,2342
"578",31,2350
"579",31,2360
"580",31,2361
"581",31,2368
"582",31,2374
"583",31,2375
"584",31,2379
"585",31,2381
"586",31,2386
"587",31,2388
"588",31,2391
"589",31,2397
"590",31,2400
"591",31,2408
"592",31,2409
"593",31,2412
"594",31,2414
"595",31,2415
"596",31,2423
"597",31,2432
"598",31,2436
"599",31,2442
"600",31,2443
"601",31,2448
"602",32,2454
"603",32,2457
"604",32,2468
"605",32,964
"606",33,2473
"607",33,2475
"608",33,2476
"609",33,2478
"610",33,2482
"611",33,2485
"612",33,2487
"613",33,2488
"614",33,2497
"615",33,2498
"616",33,2499
"617",33,2507
"618",33,2512
"619",33,2513
"620",33,2515
"621",33,2517
"622",33,2520
"623",33,2525
"624",33,2528
"625",33,2531
"626",33,2536
"627",33,2540
"628",33,2552
"629",33,2560
"630",33,2567
"631",33,2572
"632",35,116
"633",35,2593
"634",35,2595
"635",35,2596
"636",35,2606
"637",35,2613
"638",35,2625
"639",35,2626
"640",35,2629
"641",35,2632
"642",35,2636
"643",36,2646
"644",36,2655
"645",36,2658
"646",36,2659
"647",38,173
"648",38,177
"649",38,2296
"650",38,2419
"651",38,2664
"652",38,2665
"653",38,2666
"654",38,2671
"655",39,2699
"656",39,2702
"657",39,2703
"658",39,2715
"659",39,2721
"660",40,1365
"661",40,1592
"662",40,1642
"663",40,1741
"664",40,1744
"665",40,2729
"666",40,2730
"667",40,2734
"668",40,2737
"669",40,2750
"670",40,2751
"671",40,2752
"672",40,2753
"673",40,2755
"674",40,2757
"675",40,2758
"676",40,2759
"677",40,2765
"678",40,2769
"679",40,2770
"680",40,2772
"681",40,2777
"682",40,2778
"683",40,2781
"684",40,2783
"685",40,2791
"686",40,2793
"687",40,2801
"688",40,2808
"689",40,2814
"690",40,2815
"691",40,2818
"692",40,2822
"693",40,2825
"694",40,2832
"695",40,480
"696",41,2835
"697",41,2836
"698",41,2838
"699",41,2840
"700",41,2842
"701",41,2843
"702",41,2846
"703",41,2849
"704",41,2852
"705",41,2854
"706",41,2858
"707",41,2859
"708",41,2861
"709",41,2863
"710",41,2864
"711",41,2869
"712",41,2873
"713",41,2876
"714",41,2880
"715",41,2881
"716",41,2883
"717",41,2884
"718",41,2887
"719",41,2893
"720",41,2894
"721",41,2895
"722",41,2901
"723",41,2905
"724",41,2909
"725",41,2915
"726",41,2916
"727",41,2922
"728",41,2927
"729",41,2934
"730",41,2935
"731",41,2936
"732",41,2941
"733",41,2942
"734",41,2953
"735",41,2954
"736",41,2956
"737",41,2958
"738",41,2959
"739",41,2964
"740",41,2968
"741",41,2969
"742",41,2971
"743",41,2972
"744",41,2975
"745",41,2976
"746",41,2977
"747",41,2978
"748",41,2980
"749",41,2981
"750",41,2988
"751",41,2990
"752",41,2991
"753",41,2995
"754",41,3007
"755",41,3008
"756",41,3009
"757",41,514
"758",41,605
"759",41,693
"760",42,1805
"761",42,3022
"762",42,3025
"763",42,3027
"764",42,3036
"765",42,3043
"766",42,3048
"767",42,3055
"768",42,3059
"769",42,3060
"770",42,3061
"771",42,3062
"772",42,3066
"773",42,3068
"774",42,3071
"775",42,3072
"776",42,752
"777",43,3084
"778",43,3089
"779",43,3091
"780",43,3098
"781",43,3103
"782",43,3107
"783",43,3111
"784",43,3114
"785",43,3118
"786",44,3119
"787",44,3123
"788",44,3131
"789",44,3133
"790",44,3136
"791",44,3142
"792",44,3146
"793",44,3153
"794",44,3164
"795",44,3165
"796",45,2643
"797",45,3185
"798",45,3196
"799",45,3205
"800",45,3211
"801",45,3213
"802",45,3216
"803",45,3218
"804",45,3225
"805",45,3226
"806",45,3229
"807",45,3230
"808",45,3231
"809",45,3232
"810",45,3234
"811",45,3239
"812",45,3242
"813",45,3247
"814",45,3250
"815",45,3251
"816",45,3256
"817",45,3264
"818",45,3267
"819",45,3274
"820",45,3276
"821",45,3278
"822",45,3285
"823",45,3295
"824",45,3309
"825",45,3313
"826",45,3315
"827",45,3318
"828",45,3320
"829",45,3325
"830",45,3326
"831",45,3333
"832",45,3338
"833",45,3341
"834",45,3346
"835",45,3347
"836",45,3356
"837",45,3360
"838",45,3363
"839",45,3369
"840",45,3377
"841",45,3380
"842",45,717
"843",45,863
"844",46,3388
"845",46,3389
"846",46,3394
"847",46,3401
"848",46,3402
"849",46,3405
"850",46,3409
"851",46,3411
"852",46,3413
"853",46,3419
"854",46,3424
"855",46,3427
"856",46,3432
"857",46,3435
"858",46,3438
"859",46,3443
"860",46,3451
"861",46,3454
"862",46,3456
"863",46,690
"864",47,3462
"865",47,3471
"866",47,3473
"867",47,3477
"868",47,3484
"869",47,3485
"870",47,3487
"871",47,3492
"872",48,2448
"873",48,2676
"874",48,2810
"875",48,3500
"876",48,3505
"877",48,3506
"878",48,3507
"879",48,3510
"880",48,3512
"881",48,3516
"882",48,3517
"883",48,3522
"884",48,3523
"885",48,3526
"886",48,3531
"887",48,3534
"888",48,3535
"889",48,3538
"890",48,3540
"891",48,3551
"892",48,3554
"893",48,3556
"894",48,3560
"895",48,3561
"896",48,3567
"897",48,3570
"898",48,3571
"899",48,3572
"900",48,3574
"901",48,3575
"902",48,3580
"903",48,3582
"904",48,3585
"905",48,3589
"906",48,3590
"907",48,3595
"908",48,3598
"909",48,3606
"910",48,3617
"911",48,3619
"912",48,3621
"913",48,3625
"914",48,3626
"915",48,3629
"916",48,3630
"917",48,539
"918",48,660
"919",48,786
"920",50,3362
"921",50,3482
"922",50,3633
"923",50,3634
"924",50,3635
"925",50,3636
"926",50,3638
"927",50,3655
"928",50,3657
"929",50,3668
"930",50,3682
"931",50,3683
"932",50,3685
"933",50,3687
"934",50,3689
"935",50,3695
"936",50,3698
"937",50,3699
"938",50,3702
"939",50,3706
"940",50,3707
"941",50,3708
"942",50,3709
"943",50,3710
"944",50,3712
"945",50,3718
"946",50,3719
"947",50,3722
"948",50,3724
"949",50,3725
"950",50,3732
"951",50,3737
"952",50,3739
"953",50,3742
"954",50,3743
"955",50,3748
"956",50,3751
"957",50,3757
"958",50,3759
"959",50,3763
"960",50,3765
"961",50,3771
"962",50,3781
"963",50,3783
"964",50,3785
"965",50,3787
"966",50,3789
"967",50,3790
"968",50,3791
"969",50,3792
"970",50,3794
"971",50,3802
"972",50,3804
"973",50,3805
"974",50,3809
"975",50,3813
"976",50,3823
"977",50,3827
"978",50,3829
"979",50,3831
"980",50,3835
"981",50,3837
"982",50,3839
"983",50,3842
"984",50,3848
"985",50,3851
"986",50,879
"987",51,132
"988",51,1874
"989",51,1875
"990",51,2679
"991",51,3855
"992",51,3856
"993",51,3867
"994",51,3869
"995",51,3870
"996",51,3874
"997",51,3876
"998",51,3877
"999",51,3881
"1000",51,3882
"1001",51,3885
"1002",51,3891
"1003",51,3898
"1004",51,3899
"1005",51,3900
"1006",51,3901
"1007",51,3903
"1008",51,3904
"1009",51,3911
"1010",51,3913
"1011",51,3914
"1012",51,3918
"1013",51,3920
"1014",51,3925
"1015",53,3940
"1016",53,3941
"1017",53,3942
"1018",56,3953
"1019",56,3954
"1020",56,3959
"1021",56,3964
"1022",56,3968
"1023",56,3969
"1024",56,3970
"1025",56,3977
"1026",56,3979
"1027",56,3994
"1028",56,3995
"1029",56,4001
"1030",56,4005
"1031",56,4006
"1032",57,2774
"1033",57,4019
"1034",57,4027
"1035",57,4029
"1036",57,4030
"1037",57,4031
"1038",57,4038
"1039",57,4044
"1040",57,4049
"1041",57,4050
"1042",57,4053
"1043",58,1741
"1044",58,3911
"1045",58,4060
"1046",58,4065
"1047",58,4077
"1048",58,4079
"1049",58,4081
"1050",58,4084
"1051",58,4087
"1052",58,4088
"1053",58,4090
"1054",59,4093
"1055",59,4101
"1056",59,4106
"1057",59,4114
"1058",59,4116
"1059",59,4120
"1060",59,4126
"1061",59,4129
"1062",59,4132
"1063",59,4134
"1064",59,4135
"1065",59,4139
"1066",59,4140
"1067",59,4145
"1068",59,4146
"1069",59,4152
"1070",59,4169
"1071",59,4182
"1072",59,4183
"1073",59,4197
"1074",59,4198
"1075",59,4200
"1076",59,4207
"1077",60,4051
"1078",60,4079
"1079",60,4211
"1080",60,4212
"1081",60,4233
"1082",60,4237
"1083",60,4240
"1084",60,4244
"1085",60,4245
"1086",60,4248
"1087",60,4252
"1088",60,4255
"1089",60,4257
"1090",60,4260
"1091",60,4262
"1092",60,4265
"1093",60,4269
"1094",60,4270
"1095",60,4275
"1096",60,4281
"1097",60,4292
"1098",60,4294
"1099",60,4296
"1100",60,4299
"1101",60,4302
"1102",60,4306
"1103",60,4307
"1104",60,4308
"1105",60,4315
"1106",60,4317
"1107",60,4321
"1108",60,4328
"1109",60,4333
"1110",60,4334
"1111",60,4365
"1112",60,4372
"1113",60,4376
"1114",60,4380
"1115",60,4382
"1116",61,4236
"1117",61,4310
"1118",61,4326
"1119",61,4397
"1120",61,4399
"1121",61,4403
"1122",61,4412
"1123",61,4413
"1124",61,4427
"1125",61,4429
"1126",61,4438
"1127",61,4440
"1128",61,802
"1129",62,4447
"1130",62,4449
"1131",62,4454
"1132",62,4455
"1133",62,4462
"1134",62,4463
"1135",62,4469
"1136",62,4470
"1137",62,4473
"1138",63,4478
"1139",63,4484
"1140",63,4488
"1141",63,4496
"1142",63,4501
"1143",63,4503
"1144",63,4504
"1145",64,4514
"1146",64,4521
"1147",64,4529
"1148",64,4533
"1149",64,4535
"1150",65,1079
"1151",65,1330
"1152",65,1740
"1153",65,1759
"1154",65,1778
"1155",65,233
"1156",65,2378
"1157",65,2730
"1158",65,2816
"1159",65,2818
"1160",65,3196
"1161",65,4542
"1162",65,4552
"1163",65,4554
"1164",65,4557
"1165",65,4564
"1166",65,4575
"1167",65,4576
"1168",65,4585
"1169",65,4591
"1170",65,4592
"1171",65,4597
"1172",65,4606
"1173",65,4609
"1174",65,4622
"1175",65,4623
"1176",65,4627
"1177",65,4631
"1178",65,4637
"1179",65,4641
"1180",65,4647
"1181",65,4648
"1182",65,4649
"1183",65,4652
"1184",65,4665
"1185",65,4669
"1186",65,4670
"1187",65,4672
"1188",65,4675
"1189",65,4677
"1190",65,4681
"1191",65,4688
"1192",65,4690
"1193",65,4697
"1194",65,4700
"1195",65,4702
"1196",65,4703
"1197",65,4709
"1198",65,4710
"1199",65,4712
"1200",65,4714
"1201",65,4721
"1202",65,4725
"1203",65,4727
"1204",65,4728
"1205",65,4729
"1206",65,4730
"1207",65,4741
"1208",65,4742
"1209",65,4744
"1210",65,4746
"1211",65,4748
"1212",65,4749
"1213",65,4750
"1214",65,4753
"1215",65,4754
"1216",65,4760
"1217",65,4766
"1218",65,4767
"1219",65,4768
"1220",65,4772
"1221",65,4774
"1222",65,4776
"1223",65,4778
"1224",65,4780
"1225",65,4781
"1226",65,4788
"1227",65,4793
"1228",65,4801
"1229",65,4806
"1230",65,4808
"1231",65,4812
"1232",65,4816
"1233",65,4819
"1234",65,4821
"1235",65,4824
"1236",65,4834
"1237",65,4836
"1238",65,4839
"1239",65,4844
"1240",65,4852
"1241",65,4854
"1242",65,4857
"1243",65,4859
"1244",65,4860
"1245",65,4862
"1246",65,4863
"1247",65,4867
"1248",65,4869
"1249",65,4870
"1250",65,4874
"1251",65,4876
"1252",65,4879
"1253",65,4881
"1254",65,4883
"1255",65,4890
"1256",65,4898
"1257",65,4899
"1258",65,4900
"1259",65,4901
"1260",65,4903
"1261",65,4905
"1262",65,4907
"1263",65,4911
"1264",65,4912
"1265",65,4919
"1266",65,4921
"1267",65,4922
"1268",65,4933
"1269",65,4935
"1270",65,4936
"1271",65,4937
"1272",65,4943
"1273",65,4951
"1274",65,4952
"1275",65,4956
"1276",65,4960
"1277",65,4966
"1278",65,4971
"1279",65,4975
"1280",65,4977
"1281",65,4981
"1282",65,498
"1283",65,4991
"1284",65,4996
"1285",65,5002
"1286",65,5005
"1287",65,5009
"1288",65,5010
"1289",65,5011
"1290",65,5016
"1291",65,5021
"1292",65,5027
"1293",65,5031
"1294",65,5037
"1295",65,5038
"1296",65,5040
"1297",65,5059
"1298",65,5065
"1299",65,5066
"1300",65,5071
"1301",65,5074
"1302",65,5075
"1303",65,5089
"1304",65,5091
"1305",65,5092
"1306",65,5098
"1307",65,5101
"1308",65,5111
"1309",65,5117
"1310",65,5122
"1311",65,5123
"1312",65,5128
"1313",65,5131
"1314",65,5132
"1315",65,5134
"1316",65,5135
"1317",65,5138
"1318",65,5140
"1319",65,5143
"1320",65,5147
"1321",65,5148
"1322",65,5153
"1323",65,5158
"1324",65,5160
"1325",65,5165
"1326",65,5168
"1327",65,5169
"1328",65,5187
"1329",65,5189
"1330",65,5193
"1331",65,5196
"1332",65,5197
"1333",65,5200
"1334",65,5202
"1335",65,5218
"1336",65,5232
"1337",65,5237
"1338",65,5238
"1339",65,5239
"1340",65,5243
"1341",65,5248
"1342",65,5249
"1343",65,5252
"1344",65,5256
"1345",65,5259
"1346",65,5260
"1347",65,5261
"1348",65,5267
"1349",65,5268
"1350",65,5279
"1351",65,5282
"1352",65,5289
"1353",65,5292
"1354",65,5297
"1355",65,5298
"1356",65,5302
"1357",65,5304
"1358",65,5309
"1359",65,5310
"1360",65,5311
"1361",65,5312
"1362",65,5323
"1363",65,5324
"1364",65,5330
"1365",65,5331
"1366",65,5338
"1367",65,5340
"1368",65,5347
"1369",65,5356
"1370",65,5358
"1371",65,5364
"1372",65,5367
"1373",65,5368
"1374",65,5372
"1375",65,5373
"1376",65,5376
"1377",65,5377
"1378",65,5387
"1379",65,5393
"1380",65,5394
"1381",65,5396
"1382",65,5398
"1383",65,5408
"1384",65,5412
"1385",65,5417
"1386",65,5424
"1387",65,5426
"1388",65,5428
"1389",65,5439
"1390",65,5442
"1391",65,5443
"1392",65,5452
"1393",65,5454
"1394",65,5456
"1395",65,5458
"1396",65,5470
"1397",65,5471
"1398",65,5483
"1399",65,5484
"1400",65,5485
"1401",65,5486
"1402",65,5489
"1403",65,5493
"1404",65,588
"1405",65,660
"1406",66,1048
"1407",66,1077
"1408",66,1588
"1409",66,1593
"1410",66,165
"1411",66,1674
"1412",66,2135
"1413",66,2192
"1414",66,2410
"1415",66,2741
"1416",66,2775
"1417",66,2810
"1418",66,2978
"1419",66,3391
"1420",66,374
"1421",66,4160
"1422",66,5305
"1423",66,5499
"1424",66,5501
"1425",66,5503
"1426",66,5504
"1427",66,5510
"1428",66,5511
"1429",66,5523
"1430",66,5534
"1431",66,5536
"1432",66,5540
"1433",66,5544
"1434",66,5556
"1435",66,5560
"1436",66,5563
"1437",66,5566
"1438",66,5577
"1439",66,5580
"1440",66,5586
"1441",66,5588
"1442",66,5591
"1443",66,5592
"1444",66,5596
"1445",66,5599
"1446",66,5603
"1447",66,5607
"1448",66,5608
"1449",66,5617
"1450",66,5618
"1451",66,5621
"1452",66,5629
"1453",66,5631
"1454",66,5635
"1455",66,5645
"1456",66,5646
"1457",66,5652
"1458",66,5654
"1459",66,5660
"1460",66,5664
"1461",66,5670
"1462",66,5679
"1463",66,5680
"1464",66,5691
"1465",66,5693
"1466",66,5696
"1467",66,5709
"1468",66,5710
"1469",66,5712
"1470",66,5715
"1471",66,5716
"1472",66,5718
"1473",66,5719
"1474",66,5722
"1475",66,5726
"1476",66,5727
"1477",66,5732
"1478",66,5736
"1479",66,5739
"1480",66,5740
"1481",66,5742
"1482",66,5743
"1483",66,5745
"1484",66,5746
"1485",66,5751
"1486",66,5752
"1487",66,5754
"1488",66,5761
"1489",66,5764
"1490",66,5765
"1491",66,5773
"1492",66,5777
"1493",66,5789
"1494",66,5790
"1495",66,5794
"1496",66,5796
"1497",66,5801
"1498",66,5804
"1499",66,5818
"1500",66,5828
"1501",66,5838
"1502",66,5842
"1503",66,5849
"1504",66,5855
"1505",66,5861
"1506",66,5867
"1507",66,5868
"1508",66,5869
"1509",66,732
"1510",67,2774
"1511",67,4071
"1512",67,5886
"1513",67,5889
"1514",67,5891
"1515",67,5895
"1516",67,5896
"1517",67,5905
"1518",67,5910
"1519",68,5315
"1520",68,5918
"1521",68,5919
"1522",68,5921
"1523",68,5924
"1524",68,5928
"1525",68,5932
"1526",68,5934
"1527",71,1066
"1528",71,137
"1529",71,1869
"1530",71,2200
"1531",71,2385
"1532",71,2407
"1533",71,2414
"1534",71,2419
"1535",71,2434
"1536",71,2437
"1537",71,2797
"1538",71,3565
"1539",71,3576
"1540",71,3577
"1541",71,3578
"1542",71,3857
"1543",71,3892
"1544",71,3903
"1545",71,5315
"1546",71,5734
"1547",71,5754
"1548",71,5795
"1549",71,5825
"1550",71,5940
"1551",71,5950
"1552",71,5959
"1553",71,5964
"1554",71,5968
"1555",71,5973
"1556",71,5978
"1557",71,5979
"1558",71,5980
"1559",71,5981
"1560",71,5989
"1561",71,5992
"1562",71,5999
"1563",71,6000
"1564",71,6015
"1565",71,6018
"1566",71,6022
"1567",71,6031
"1568",71,6034
"1569",71,6035
"1570",71,6036
"1571",71,6037
"1572",71,6038
"1573",71,6043
"1574",71,6044
"1575",71,6047
"1576",71,6050
"1577",71,6061
"1578",71,6063
"1579",71,6070
"1580",71,6081
"1581",71,6092
"1582",71,6093
"1583",71,6111
"1584",71,6115
"1585",71,6118
"1586",71,6128
"1587",71,6132
"1588",71,6135
"1589",71,6145
"1590",71,6149
"1591",71,6150
"1592",71,6152
"1593",71,6153
"1594",71,6155
"1595",71,6158
"1596",71,6161
"1597",71,6162
"1598",71,6164
"1599",71,6169
"1600",71,887
"1601",73,111
"1602",73,1333
"1603",73,1644
"1604",73,1821
"1605",73,2110
"1606",73,6179
"1607",73,6180
"1608",73,6183
"1609",73,6191
"1610",73,6200
"1611",73,6211
"1612",73,6215
"1613",73,6222
"1614",73,6224
"1615",73,6225
"1616",73,6229
"1617",73,6231
"1618",73,6235
"1619",73,6240
"1620",73,6241
"1621",73,6246
"1622",73,6247
"1623",73,6250
"1624",73,6251
"1625",73,6253
"1626",73,6259
"1627",73,6260
"1628",73,6261
"1629",73,6263
"1630",73,6273
"1631",73,6277
"1632",73,6278
"1633",73,6280
"1634",73,6282
"1635",73,6284
"1636",73,6299
"1637",73,6304
"1638",73,6313
"1639",73,6318
"1640",73,6319
"1641",73,6328
"1642",73,6331
"1643",73,6334
"1644",73,6349
"1645",73,6352
"1646",73,6353
"1647",73,6356
"1648",73,6362
"1649",73,6368
"1650",73,6374
"1651",73,6377
"1652",73,6384
"1653",73,6392
"1654",73,6397
"1655",73,6399
"1656",73,6402
"1657",73,6407
"1658",73,6410
"1659",73,6412
"1660",73,6418
"1661",73,6419
"1662",73,6421
"1663",73,6426
"1664",73,6431
"1665",73,6438
"1666",73,750
"1667",74,394
"1668",74,3975
"1669",74,6441
"1670",74,6443
"1671",74,6454
"1672",74,6459
"1673",74,6462
"1674",74,6468
"1675",74,6470
"1676",74,6485
"1677",74,6490
"1678",74,6496
"1679",74,6500
"1680",74,6502
"1681",74,6504
"1682",74,6513
"1683",74,6515
"1684",74,6527
"1685",74,6532
"1686",74,6538
"1687",74,6544
"1688",76,2457
"1689",76,6570
"1690",76,6572
"1691",76,6577
"1692",76,6582
"1693",76,6584
"1694",76,6604
"1695",77,1048
"1696",77,2200
